FID,COMID,UID,BSN_COUNT,AreaSqKM,RPU,COMID_1,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,inStreamCat,PctCarbResidCat,PctNonCarbResidCat,PctAlkIntruVolCat,PctSilicicCat,PctExtruVolCat,PctColluvSedCat,PctGlacTilClayCat,PctGlacTilLoamCat,PctGlacTilCrsCat,PctGlacLakeCrsCat,PctGlacLakeFineCat,PctHydricCat,PctEolCrsCat,PctEolFineCat,PctSalLakeCat,PctAlluvCoastCat,PctCoastCrsCat,PctWaterCat,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
123690,23703719,124699,2258,2.0322,17c,23703719,2.0322,2.0322,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123528,23703723,124537,2048,1.8432,17c,23703723,1.8432,1.8432,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123691,23703771,124700,5245,4.7205,17c,23703771,4.7205,7.0668,100,100,0,0,0,0,0,91.76358437,0,0,0,8.236415634,0,0,0,0,0,0,0,0,0,0,0,0,0,94.49821701,0,0,0,5.501782985,0,0,0,0,0,0,0,0,0
123683,23703779,124692,617,0.5553,17c,23703779,0.5553,0.5553,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123531,23703791,124540,248,0.2232,17c,23703791,0.2232,0.2232,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123529,23703795,124538,1967,1.7703,17c,23703795,1.7703,1.7703,100,100,0,0,0,0,0,23.28418912,0,0,0,76.71581088,0,0,0,0,0,0,0,0,0,0,0,0,0,23.28418912,0,0,0,76.71581088,0,0,0,0,0,0,0,0,0
123684,23703803,124693,2922,2.6298,17c,23703803,2.6298,2.6298,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123694,23703807,124703,5573,5.0157,17c,23703807,5.0157,18.2898,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123687,23703811,124696,362,0.3258,17c,23703811,0.3258,0.3258,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123682,23703819,124691,448,0.4032,17c,23703819,0.4032,0.4032,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123535,23703823,124544,2208,1.9872,17c,23703823,1.9872,1.9872,100,100,0,0,0,0,0,71.24094203,0,0,0,0,0,28.75905797,0,0,0,0,0,0,0,0,0,0,0,71.24094203,0,0,0,0,0,28.75905797,0,0,0,0,0,0,0
123536,23703831,124545,62,0.0558,17c,23703831,0.0558,0.0558,100,100,0,0,0,0,0,87.09677419,0,0,0,0,0,12.90322581,0,0,0,0,0,0,0,0,0,0,0,87.09677419,0,0,0,0,0,12.90322581,0,0,0,0,0,0,0
123424,23703839,124433,131,0.1179,17c,23703839,0.1179,0.1179,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123433,23703875,124442,1010,0.909,17c,23703875,0.909,0.909,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123437,23703891,124446,351,0.3159,17c,23703891,0.3159,0.3159,100,100,0,0,0,0,0,97.72079772,0,0,0,2.279202279,0,0,0,0,0,0,0,0,0,0,0,0,0,97.72079772,0,0,0,2.279202279,0,0,0,0,0,0,0,0,0
123438,23703895,124447,1813,1.6317,17c,23703895,1.6317,1.6317,100,100,0,0,0,0,0,72.3110866,0,0,0,27.6889134,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3110866,0,0,0,27.6889134,0,0,0,0,0,0,0,0,0
123439,23703899,124448,3026,2.7234,17c,23703899,2.7234,2.7234,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123435,23703923,124444,161,0.1449,17c,23703923,0.1449,0.1449,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123436,23703935,124445,2539,2.2851,17c,23703935,2.2851,2.2851,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123429,23703979,124438,49820,44.838,17c,23703979,44.838,44.838,100,100,0,0,0,0,0,93.85989562,0,0,0,6.140104376,0,0,0,0,0,0,0,0,0,0,0,0,0,93.85989562,0,0,0,6.140104376,0,0,0,0,0,0,0,0,0
123425,23703991,124434,1046,0.9414,17c,23703991,0.9414,0.9414,100,100,0,0,0,0,0,26.57743786,0,0,0,73.42256214,0,0,0,0,0,0,0,0,0,0,0,0,0,26.57743786,0,0,0,73.42256214,0,0,0,0,0,0,0,0,0
123724,23704003,124733,40,0.036,17c,23704003,0.036,0.036,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123723,23704015,124732,492,0.4428,17c,23704015,0.4428,0.4428,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123421,23704027,124430,148,0.1332,17c,23704027,0.1332,0.1332,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123422,23704031,124431,97,0.0873,17c,23704031,0.0873,0.0873,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123721,23704035,124730,95,0.0855,17c,23704035,0.0855,0.0855,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123719,23704039,124728,1128,1.0152,17c,23704039,1.0152,1.0152,100,100,0,0,0,0,0,62.58865248,0,0,0,37.41134752,0,0,0,0,0,0,0,0,0,0,0,0,0,62.58865248,0,0,0,37.41134752,0,0,0,0,0,0,0,0,0
